image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
1,1,"(180, 70)",2,True,-1
2,2,"(180, 70)",3,True,-1
3,3,"(42, 70)",2,True,-1
4,4,"(42, 70)",2,True,-1
5,5,"(42, 70)",2,True,-1
6,6,"(111, 194)",1,True,-1
7,7,"(111, 28)",2,True,-1
8,8,"(42, 70)",2,True,-1
9,9,"(180, 153)",1,True,-1
10,10,"(111, 194)",1,True,-1
11,11,"(180, 153)",3,True,-1
12,12,"(42, 70)",2,True,-1
13,13,"(180, 70)",2,True,-1
14,14,"(180, 153)",3,True,-1
15,15,"(180, 153)",2,True,-1
16,16,"(180, 153)",3,True,-1
17,17,"(111, 28)",1,True,-1
18,18,"(42, 70)",3,True,-1
19,19,"(42, 153)",1,True,-1
20,20,"(42, 153)",1,True,-1
21,21,"(180, 70)",2,True,-1
22,22,"(180, 70)",2,True,-1
23,23,"(180, 70)",1,True,-1
24,24,"(180, 70)",1,True,-1
25,25,"(180, 70)",2,True,-1
26,26,"(180, 70)",1,True,-1
27,27,"(42, 153)",2,True,-1
28,28,"(42, 70)",3,True,-1
29,29,"(180, 70)",2,True,-1
30,30,"(42, 70)",2,True,-1
31,31,"(111, 28)",2,True,-1
32,32,"(180, 153)",1,True,-1
33,33,"(42, 153)",1,True,-1
34,34,"(111, 194)",2,True,-1
35,35,"(180, 70)",2,True,-1
36,36,"(180, 153)",3,True,-1
37,37,"(111, 194)",1,True,-1
38,38,"(42, 70)",3,True,-1
39,39,"(111, 28)",2,True,-1
40,40,"(111, 28)",1,True,-1
41,41,"(180, 70)",2,True,-1
42,42,"(111, 194)",1,True,-1
43,43,"(111, 194)",1,True,-1
44,44,"(111, 28)",2,True,-1
45,45,"(180, 70)",4,True,-1
46,46,"(111, 194)",1,True,-1
47,47,"(111, 28)",1,True,-1
48,48,"(111, 28)",2,True,-1
49,49,"(42, 153)",3,True,-1
50,50,"(42, 153)",3,True,-1
51,51,"(42, 153)",3,True,-1
52,52,"(180, 153)",1,True,-1
53,53,"(180, 153)",1,True,-1
54,54,"(180, 70)",2,True,-1
55,55,"(111, 194)",1,True,-1
56,56,"(111, 194)",1,True,-1
57,57,"(42, 70)",1,True,-1
58,58,"(42, 70)",2,True,-1
59,59,"(111, 194)",1,True,-1
60,60,"(111, 28)",2,True,-1
61,61,"(180, 153)",2,True,-1
62,62,"(111, 28)",1,True,-1
63,63,"(42, 153)",2,True,-1
64,64,"(111, 28)",2,True,-1
65,65,"(180, 153)",1,True,-1
66,66,"(180, 70)",2,True,-1
67,67,"(111, 194)",1,True,-1
68,68,"(111, 194)",2,True,-1
69,69,"(180, 70)",3,True,-1
70,70,"(180, 153)",1,True,-1
71,71,"(111, 194)",1,True,-1
72,72,"(111, 194)",2,True,-1
73,73,"(111, 194)",1,True,-1
74,74,"(111, 194)",2,True,-1
75,75,"(111, 194)",1,True,-1
76,76,"(111, 28)",2,True,-1
77,77,"(111, 28)",2,True,-1
78,78,"(111, 194)",2,True,-1
79,79,"(42, 153)",3,True,-1
80,80,"(42, 153)",2,True,-1
81,81,"(42, 153)",3,True,-1
82,82,"(111, 194)",1,True,-1
83,83,"(42, 70)",2,True,-1
84,84,"(111, 194)",1,True,-1
85,85,"(180, 70)",3,True,-1
86,86,"(111, 28)",2,True,-1
87,87,"(42, 70)",2,True,-1
88,88,"(42, 153)",2,True,-1
89,89,"(42, 70)",3,True,-1
90,90,"(180, 153)",1,True,-1
91,91,"(42, 70)",1,True,-1
92,92,"(42, 153)",3,True,-1
93,93,"(42, 70)",3,True,-1
94,94,"(42, 70)",1,True,-1
95,95,"(42, 70)",2,True,-1
96,96,"(111, 28)",2,True,-1
97,97,"(111, 194)",1,True,-1
98,98,"(111, 28)",1,True,-1
99,99,"(42, 70)",1,True,-1
100,100,"(111, 28)",1,True,-1
101,101,"(180, 70)",2,True,-1
102,102,"(42, 70)",2,True,-1
103,103,"(42, 70)",3,True,-1
104,104,"(42, 153)",1,True,-1
105,105,"(111, 28)",1,True,-1
106,106,"(111, 28)",1,True,-1
107,107,"(180, 153)",3,True,-1
108,108,"(111, 194)",1,True,-1
109,109,"(111, 194)",1,True,-1
110,110,"(42, 153)",2,True,-1
111,111,"(42, 70)",2,True,-1
112,112,"(180, 70)",3,True,-1
113,113,"(180, 153)",1,True,-1
114,114,"(111, 28)",1,True,-1
115,115,"(42, 153)",2,True,-1
116,116,"(180, 70)",2,True,-1
117,117,"(111, 28)",2,True,-1
118,118,"(111, 194)",1,True,-1
119,119,"(180, 153)",3,True,-1
120,120,"(42, 70)",2,True,-1
121,121,"(111, 28)",1,True,-1
122,122,"(180, 153)",1,True,-1
123,123,"(42, 70)",1,True,-1
124,124,"(180, 70)",2,True,-1
125,125,"(111, 194)",1,True,-1
126,126,"(111, 194)",1,True,-1
127,127,"(180, 153)",2,True,-1
128,128,"(42, 153)",1,True,-1
129,129,"(180, 70)",2,True,-1
130,130,"(42, 153)",1,True,-1
131,131,"(111, 194)",1,True,-1
132,132,"(111, 194)",1,True,-1
133,133,"(180, 70)",2,True,-1
134,134,"(180, 153)",3,True,-1
135,135,"(42, 153)",1,True,-1
136,136,"(180, 153)",1,True,-1
137,137,"(111, 28)",1,True,-1
138,138,"(111, 28)",1,True,-1
139,139,"(111, 28)",1,True,-1
140,140,"(180, 70)",2,True,-1
141,141,"(180, 70)",2,True,-1
142,142,"(42, 153)",1,True,-1
143,143,"(111, 28)",1,True,-1
144,144,"(111, 28)",1,True,-1
145,145,"(180, 153)",1,True,-1
146,146,"(42, 70)",2,True,-1
147,147,"(42, 153)",1,True,-1
148,148,"(180, 153)",2,True,-1
149,149,"(111, 194)",2,True,-1
150,150,"(42, 70)",2,True,-1
151,151,"(111, 28)",2,True,-1
152,152,"(42, 70)",2,True,-1
153,153,"(42, 70)",3,True,-1
154,154,"(42, 153)",2,True,-1
155,155,"(180, 70)",2,True,-1
156,156,"(111, 28)",1,True,-1
157,157,"(42, 153)",1,True,-1
158,158,"(42, 70)",2,True,-1
159,159,"(111, 194)",1,True,-1
160,160,"(42, 70)",2,True,-1
161,161,"(111, 28)",1,True,-1
162,162,"(42, 153)",3,True,-1
163,163,"(180, 153)",3,True,-1
164,164,"(180, 70)",2,True,-1
165,165,"(42, 70)",2,True,-1
166,166,"(111, 28)",1,True,-1
167,167,"(42, 153)",3,True,-1
168,168,"(180, 153)",3,True,-1
169,169,"(180, 70)",2,True,-1
170,170,"(42, 70)",3,True,-1
171,171,"(111, 28)",1,True,-1
172,172,"(42, 153)",1,True,-1
173,173,"(111, 28)",2,True,-1
174,174,"(111, 194)",1,True,-1
175,175,"(180, 70)",2,True,-1
176,176,"(111, 28)",1,True,-1
177,177,"(111, 194)",1,True,-1
178,178,"(42, 153)",3,True,-1
179,179,"(42, 153)",1,True,-1
180,180,"(42, 153)",2,True,-1
181,181,"(42, 70)",2,True,-1
182,182,"(111, 28)",1,True,-1
183,183,"(111, 28)",1,True,-1
184,184,"(111, 28)",1,True,-1
185,185,"(180, 70)",4,True,-1
186,186,"(180, 70)",2,True,-1
187,187,"(42, 153)",2,True,-1
188,188,"(180, 70)",1,True,-1
189,189,"(180, 153)",1,True,-1
190,190,"(42, 70)",2,True,-1
191,191,"(180, 153)",1,True,-1
192,192,"(180, 153)",1,True,-1
193,193,"(180, 70)",1,True,-1
194,194,"(180, 70)",2,True,-1
195,195,"(111, 28)",1,True,-1
196,196,"(42, 70)",1,True,-1
197,197,"(111, 28)",1,True,-1
198,198,"(180, 70)",3,True,-1
199,199,"(111, 28)",1,True,-1
200,200,"(42, 70)",3,True,-1
201,201,"(42, 153)",1,True,-1
202,202,"(42, 153)",1,True,-1
203,203,"(180, 153)",3,True,-1
204,204,"(111, 28)",1,True,-1
205,205,"(42, 153)",1,True,-1
206,206,"(42, 70)",2,True,-1
207,207,"(42, 153)",2,True,-1
208,208,"(42, 153)",2,True,-1
209,209,"(111, 28)",1,True,-1
210,210,"(42, 70)",3,True,-1
211,211,"(180, 153)",3,True,-1
212,212,"(42, 70)",2,True,-1
213,213,"(42, 153)",1,True,-1
214,214,"(111, 194)",2,True,-1
215,215,"(180, 70)",2,True,-1
216,216,"(42, 70)",2,True,-1
217,217,"(111, 194)",1,True,-1
218,218,"(42, 153)",3,True,-1
219,219,"(111, 194)",1,True,-1
220,220,"(111, 194)",1,True,-1
221,221,"(111, 28)",1,True,-1
222,222,"(111, 28)",2,True,-1
223,223,"(111, 28)",2,True,-1
224,224,"(42, 70)",2,True,-1
225,225,"(180, 153)",4,True,-1
226,226,"(111, 28)",2,True,-1
227,227,"(42, 153)",1,True,-1
228,228,"(42, 153)",2,True,-1
229,229,"(42, 70)",2,True,-1
230,230,"(42, 153)",3,True,-1
231,231,"(180, 153)",1,True,-1
232,232,"(180, 153)",1,True,-1
233,233,"(42, 153)",1,True,-1
234,234,"(42, 70)",2,True,-1
235,235,"(42, 70)",2,True,-1
236,236,"(180, 153)",3,True,-1
237,237,"(111, 28)",1,True,-1
238,238,"(180, 153)",3,True,-1
239,239,"(180, 153)",1,True,-1
240,240,"(180, 70)",2,True,-1
241,241,"(42, 70)",2,True,-1
242,242,"(111, 194)",2,True,-1
243,243,"(180, 70)",2,True,-1
244,244,"(180, 153)",3,True,-1
245,245,"(111, 194)",1,True,-1
246,246,"(111, 194)",1,True,-1
247,247,"(111, 194)",1,True,-1
248,248,"(180, 153)",3,True,-1
249,249,"(180, 70)",3,True,-1
250,250,"(42, 70)",3,True,-1
251,251,"(111, 194)",1,True,-1
252,252,"(180, 153)",1,True,-1
253,253,"(42, 153)",1,True,-1
254,254,"(42, 70)",2,True,-1
255,255,"(42, 70)",3,True,-1
256,256,"(180, 153)",2,True,-1
257,257,"(180, 70)",3,True,-1
258,258,"(42, 70)",2,True,-1
259,259,"(111, 194)",1,True,-1
260,260,"(180, 70)",2,True,-1
261,261,"(111, 194)",1,True,-1
262,262,"(42, 153)",2,True,-1
263,263,"(42, 70)",2,True,-1
264,264,"(111, 194)",2,True,-1
265,265,"(180, 153)",1,True,-1
266,266,"(111, 28)",2,True,-1
267,267,"(42, 153)",1,True,-1
268,268,"(180, 153)",3,True,-1
269,269,"(180, 70)",3,True,-1
270,270,"(42, 70)",2,True,-1
271,271,"(42, 153)",1,True,-1
272,272,"(180, 70)",2,True,-1
273,273,"(180, 153)",1,True,-1
274,274,"(42, 153)",2,True,-1
275,275,"(180, 153)",3,True,-1
276,276,"(180, 153)",1,True,-1
277,277,"(42, 153)",2,True,-1
278,278,"(111, 28)",2,True,-1
279,279,"(180, 70)",2,True,-1
280,280,"(42, 153)",3,True,-1
281,281,"(180, 153)",3,True,-1
282,282,"(180, 70)",1,True,-1
283,283,"(111, 194)",1,True,-1
284,284,"(180, 70)",3,True,-1
285,285,"(42, 70)",1,True,-1
286,286,"(180, 153)",1,True,-1
287,287,"(180, 70)",2,True,-1
288,288,"(42, 153)",1,True,-1
289,289,"(180, 70)",2,True,-1
290,290,"(111, 194)",1,True,-1
291,291,"(180, 153)",2,True,-1
292,292,"(42, 153)",2,True,-1
293,293,"(111, 194)",1,True,-1
294,294,"(111, 28)",2,True,-1
295,295,"(180, 70)",3,True,-1
296,296,"(180, 70)",3,True,-1
297,297,"(180, 70)",2,True,-1
298,298,"(180, 153)",1,True,-1
299,299,"(111, 28)",1,True,-1
300,300,"(111, 28)",1,True,-1
301,301,"(180, 153)",2,True,-1
302,302,"(111, 28)",2,True,-1
303,303,"(111, 28)",1,True,-1
304,304,"(111, 194)",2,True,-1
305,305,"(111, 28)",2,True,-1
306,306,"(42, 70)",2,True,-1
307,307,"(180, 70)",2,True,-1
308,308,"(42, 153)",1,True,-1
309,309,"(111, 194)",1,True,-1
310,310,"(42, 70)",2,True,-1
311,311,"(42, 70)",3,True,-1
312,312,"(42, 153)",1,True,-1
313,313,"(42, 70)",3,True,-1
314,314,"(111, 28)",1,True,-1
315,315,"(42, 153)",2,True,-1
316,316,"(42, 70)",3,True,-1
317,317,"(111, 194)",2,True,-1
318,318,"(111, 28)",2,True,-1
319,319,"(180, 70)",3,True,-1
320,320,"(111, 28)",1,True,-1
321,321,"(180, 153)",2,True,-1
322,322,"(111, 28)",1,True,-1
323,323,"(111, 194)",2,True,-1
324,324,"(180, 153)",4,True,-1
325,325,"(111, 194)",1,True,-1
326,326,"(180, 70)",2,True,-1
327,327,"(111, 28)",1,True,-1
328,328,"(111, 28)",1,True,-1
329,329,"(180, 153)",2,True,-1
330,330,"(42, 70)",3,True,-1
331,331,"(111, 28)",2,True,-1
332,332,"(111, 28)",1,True,-1
333,333,"(42, 70)",1,True,-1
334,334,"(42, 70)",2,True,-1
335,335,"(180, 153)",1,True,-1
336,336,"(180, 153)",1,True,-1
337,337,"(111, 194)",2,True,-1
338,338,"(180, 70)",2,True,-1
339,339,"(111, 28)",1,True,-1
340,340,"(180, 153)",1,True,-1
341,341,"(42, 70)",2,True,-1
342,342,"(180, 153)",1,True,-1
343,343,"(180, 153)",1,True,-1
344,344,"(42, 70)",2,True,-1
345,345,"(111, 194)",1,True,-1
346,346,"(111, 28)",2,True,-1
347,347,"(111, 194)",1,True,-1
348,348,"(42, 153)",1,True,-1
349,349,"(111, 194)",2,True,-1
350,350,"(111, 194)",2,True,-1
351,351,"(180, 70)",1,True,-1
352,352,"(111, 194)",1,True,-1
353,353,"(42, 153)",1,True,-1
354,354,"(180, 70)",3,True,-1
355,355,"(42, 70)",2,True,-1
356,356,"(42, 70)",2,True,-1
357,357,"(42, 153)",3,True,-1
358,358,"(42, 153)",3,True,-1
359,359,"(42, 70)",3,True,-1
360,360,"(180, 70)",2,True,-1
361,361,"(42, 70)",2,True,-1
362,362,"(111, 194)",1,True,-1
363,363,"(111, 28)",2,True,-1
364,364,"(180, 70)",1,True,-1
365,365,"(111, 194)",1,True,-1
366,366,"(42, 153)",1,True,-1
367,367,"(42, 153)",1,True,-1
368,368,"(180, 153)",2,True,-1
369,369,"(42, 70)",1,True,-1
370,370,"(111, 28)",1,True,-1
371,371,"(180, 153)",1,True,-1
372,372,"(180, 153)",1,True,-1
373,373,"(180, 70)",2,True,-1
374,374,"(42, 153)",1,True,-1
375,375,"(111, 28)",2,True,-1
376,376,"(111, 194)",1,True,-1
377,377,"(42, 153)",1,True,-1
378,378,"(111, 28)",1,True,-1
379,379,"(42, 153)",1,True,-1
380,380,"(111, 28)",2,True,-1
381,381,"(111, 194)",2,True,-1
382,382,"(180, 153)",2,True,-1
383,383,"(111, 194)",1,True,-1
384,384,"(180, 153)",1,True,-1
385,385,"(42, 70)",2,True,-1
386,386,"(111, 28)",2,True,-1
387,387,"(42, 70)",1,True,-1
388,388,"(111, 28)",1,True,-1
389,389,"(111, 194)",2,True,-1
390,390,"(111, 194)",2,True,-1
391,391,"(180, 70)",2,True,-1
392,392,"(111, 28)",1,True,-1
393,393,"(111, 28)",1,True,-1
394,394,"(111, 28)",1,True,-1
395,395,"(111, 28)",2,True,-1
396,396,"(111, 28)",1,True,-1
397,397,"(111, 28)",1,True,-1
398,398,"(42, 70)",3,True,-1
399,399,"(111, 194)",1,True,-1
400,400,"(111, 194)",2,True,-1
401,401,"(180, 70)",2,True,-1
402,402,"(180, 70)",1,True,-1
403,403,"(180, 153)",1,True,-1
404,404,"(42, 153)",3,True,-1
405,405,"(111, 194)",2,True,-1
406,406,"(42, 153)",1,True,-1
407,407,"(42, 153)",3,True,-1
408,408,"(111, 194)",1,True,-1
409,409,"(111, 28)",1,True,-1
410,410,"(180, 153)",1,True,-1
411,411,"(111, 28)",1,True,-1
412,412,"(180, 70)",2,True,-1
413,413,"(111, 194)",1,True,-1
414,414,"(111, 194)",1,True,-1
415,415,"(180, 70)",2,True,-1
416,416,"(180, 153)",3,True,-1
417,417,"(180, 153)",3,True,-1
418,418,"(180, 70)",2,True,-1
419,419,"(111, 28)",2,True,-1
420,420,"(111, 28)",2,True,-1
421,421,"(180, 70)",3,True,-1
422,422,"(42, 70)",2,True,-1
423,423,"(42, 70)",1,True,-1
424,424,"(180, 70)",2,True,-1
425,425,"(42, 153)",1,True,-1
426,426,"(111, 194)",1,True,-1
427,427,"(111, 28)",1,True,-1
428,428,"(180, 70)",4,True,-1
429,429,"(180, 70)",3,True,-1
430,430,"(180, 153)",1,True,-1
431,431,"(42, 153)",2,True,-1
432,432,"(180, 70)",2,True,-1
433,433,"(180, 153)",1,True,-1
434,434,"(42, 153)",2,True,-1
