image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
1,1,"(111, 194)",1,True,-1
2,2,"(111, 28)",3,True,-1
3,3,"(111, 28)",5,True,-1
4,4,"(111, 28)",4,True,-1
5,5,"(180, 153)",4,True,-1
6,6,"(42, 153)",5,True,-1
7,7,"(42, 70)",4,True,-1
8,8,"(42, 153)",5,True,-1
9,9,"(180, 70)",5,True,-1
10,10,"(180, 153)",4,True,-1
11,11,"(42, 70)",4,True,-1
12,12,"(111, 194)",2,True,-1
13,13,"(42, 70)",5,True,-1
14,14,"(111, 28)",4,True,-1
15,15,"(42, 70)",5,True,-1
16,16,"(180, 70)",4,True,-1
17,17,"(42, 70)",5,True,-1
18,18,"(180, 153)",5,True,-1
19,19,"(111, 28)",3,True,-1
20,20,"(180, 70)",4,True,-1
21,21,"(42, 70)",3,True,-1
22,22,"(111, 28)",3,True,-1
23,23,"(111, 194)",4,True,-1
24,24,"(111, 194)",2,True,-1
25,25,"(180, 153)",5,True,-1
26,26,"(42, 153)",5,True,-1
27,27,"(42, 153)",4,True,-1
28,28,"(42, 70)",5,True,-1
29,29,"(42, 70)",6,True,-1
30,30,"(111, 28)",4,True,-1
31,31,"(42, 153)",5,True,-1
32,32,"(42, 153)",5,True,-1
33,33,"(111, 194)",5,True,-1
34,34,"(111, 28)",4,True,-1
35,35,"(180, 70)",5,True,-1
36,36,"(180, 70)",5,True,-1
37,37,"(111, 28)",2,True,-1
38,38,"(111, 28)",5,True,-1
39,39,"(180, 153)",4,True,-1
40,40,"(42, 153)",4,True,-1
41,41,"(42, 70)",5,True,-1
42,42,"(180, 70)",6,True,-1
43,43,"(180, 153)",4,True,-1
44,44,"(111, 194)",6,True,-1
45,45,"(180, 153)",4,True,-1
46,46,"(42, 70)",4,True,-1
47,47,"(42, 153)",5,True,-1
48,48,"(180, 70)",6,True,-1
49,49,"(180, 153)",6,True,-1
50,50,"(111, 28)",3,True,-1
51,51,"(180, 70)",6,True,-1
52,52,"(111, 194)",4,True,-1
53,53,"(180, 70)",5,True,-1
54,54,"(42, 153)",6,True,-1
55,55,"(111, 194)",5,True,-1
56,56,"(180, 153)",3,True,-1
57,57,"(42, 153)",6,True,-1
58,58,"(111, 28)",5,True,-1
59,59,"(180, 153)",4,True,-1
60,60,"(111, 28)",3,True,-1
61,61,"(180, 153)",5,True,-1
62,62,"(180, 70)",5,True,-1
63,63,"(42, 70)",5,True,-1
64,64,"(180, 70)",6,True,-1
65,65,"(111, 194)",2,True,-1
66,66,"(111, 28)",3,True,-1
67,67,"(111, 194)",2,True,-1
68,68,"(42, 153)",3,True,-1
69,69,"(180, 70)",4,True,-1
70,70,"(180, 153)",2,True,-1
71,71,"(111, 28)",4,True,-1
72,72,"(42, 70)",5,True,-1
73,73,"(180, 153)",5,True,-1
74,74,"(111, 28)",6,True,-1
75,75,"(180, 70)",5,True,-1
76,76,"(42, 153)",5,True,-1
77,77,"(180, 70)",5,True,-1
78,78,"(42, 153)",6,True,-1
79,79,"(111, 28)",3,True,-1
80,80,"(42, 70)",6,True,-1
81,81,"(180, 70)",5,True,-1
82,82,"(111, 194)",2,True,-1
83,83,"(180, 153)",4,True,-1
84,84,"(42, 153)",4,True,-1
85,85,"(42, 153)",5,True,-1
86,86,"(180, 70)",5,True,-1
87,87,"(42, 70)",6,True,-1
88,88,"(111, 28)",5,True,-1
89,89,"(180, 70)",6,True,-1
90,90,"(111, 194)",4,True,-1
91,91,"(180, 70)",5,True,-1
92,92,"(180, 70)",5,True,-1
93,93,"(111, 194)",4,True,-1
94,94,"(111, 194)",2,True,-1
95,95,"(42, 70)",4,True,-1
96,96,"(180, 153)",5,True,-1
97,97,"(42, 153)",3,True,-1
98,98,"(42, 70)",6,True,-1
99,99,"(42, 70)",4,True,-1
100,100,"(180, 70)",5,True,-1
101,101,"(42, 153)",4,True,-1
102,102,"(180, 70)",5,True,-1
103,103,"(42, 153)",5,True,-1
104,104,"(42, 153)",2,True,-1
105,105,"(180, 70)",6,True,-1
106,106,"(42, 153)",3,True,-1
107,107,"(42, 153)",6,True,-1
108,108,"(180, 153)",6,True,-1
109,109,"(180, 153)",6,True,-1
110,110,"(180, 153)",5,True,-1
111,111,"(42, 153)",4,True,-1
112,112,"(180, 70)",5,True,-1
113,113,"(42, 70)",5,True,-1
114,114,"(111, 194)",5,True,-1
115,115,"(42, 70)",4,True,-1
116,116,"(42, 70)",5,True,-1
117,117,"(111, 194)",4,True,-1
118,118,"(111, 28)",2,True,-1
119,119,"(180, 70)",5,True,-1
120,120,"(180, 153)",6,True,-1
121,121,"(42, 70)",5,True,-1
122,122,"(42, 70)",4,True,-1
123,123,"(42, 70)",5,True,-1
124,124,"(180, 153)",5,True,-1
125,125,"(42, 70)",5,True,-1
126,126,"(180, 153)",4,True,-1
127,127,"(111, 28)",5,True,-1
128,128,"(42, 153)",6,True,-1
129,129,"(42, 153)",5,True,-1
130,130,"(42, 70)",4,True,-1
131,131,"(180, 153)",6,True,-1
132,132,"(111, 28)",4,True,-1
133,133,"(180, 70)",5,True,-1
134,134,"(180, 153)",6,True,-1
135,135,"(42, 153)",5,True,-1
136,136,"(180, 153)",6,True,-1
137,137,"(42, 153)",5,True,-1
138,138,"(180, 153)",5,True,-1
139,139,"(111, 194)",4,True,-1
140,140,"(180, 70)",4,True,-1
141,141,"(42, 153)",5,True,-1
142,142,"(42, 70)",5,True,-1
143,143,"(111, 194)",2,True,-1
144,144,"(180, 70)",5,True,-1
145,145,"(111, 28)",2,True,-1
146,146,"(42, 70)",5,True,-1
147,147,"(180, 70)",6,True,-1
148,148,"(180, 70)",5,True,-1
149,149,"(42, 153)",6,True,-1
150,150,"(180, 153)",5,True,-1
151,151,"(180, 70)",5,True,-1
152,152,"(111, 28)",6,True,-1
153,153,"(180, 153)",3,True,-1
154,154,"(111, 28)",5,True,-1
155,155,"(111, 194)",1,True,-1
156,156,"(42, 153)",5,True,-1
157,157,"(180, 70)",6,True,-1
158,158,"(42, 153)",6,True,-1
