image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
1,1,3,TRUE,-1,0,1,0
2,2,3,TRUE,-1,0,1,0
3,3,1,TRUE,-1,0,1,0
4,4,3,TRUE,-1,0,1,0
5,5,2,TRUE,-1,0,1,0
6,6,3,TRUE,-1,0,1,0
7,7,2,TRUE,-1,0,1,0
8,8,1,TRUE,-1,0,1,0
9,9,1,TRUE,-1,0,1,0
10,10,2,TRUE,-1,0,1,0
11,11,3,TRUE,-1,0,1,0
12,12,2,TRUE,-1,0,1,0
13,13,1,TRUE,-1,0,1,0
14,14,3,TRUE,-1,0,1,0
15,15,2,TRUE,-1,0,1,0
16,16,1,TRUE,-1,0,1,0
17,17,3,TRUE,-1,0,1,0
18,18,1,TRUE,-1,0,1,0
19,19,2,TRUE,-1,0,1,0
20,20,3,TRUE,-1,0,1,0
21,21,3,TRUE,-1,0,1,0
22,22,2,TRUE,-1,0,1,0
23,23,2,TRUE,-1,0,1,0
24,24,1,TRUE,-1,0,1,0
25,25,2,TRUE,-1,0,1,0
26,26,2,TRUE,-1,0,1,0
27,27,1,TRUE,-1,0,1,0
28,28,3,TRUE,-1,0,1,0
29,29,4,TRUE,-1,0,1,0
30,30,2,TRUE,-1,0,1,0
31,31,2,TRUE,-1,0,1,0
32,32,2,TRUE,-1,0,1,0
33,33,2,TRUE,-1,0,1,0
34,34,2,TRUE,-1,0,1,0
35,35,2,TRUE,-1,0,1,0
36,36,3,TRUE,-1,0,1,0
37,37,1,TRUE,-1,0,1,0
38,38,2,TRUE,-1,0,1,0
39,39,2,TRUE,-1,0,1,0
40,40,2,TRUE,-1,0,1,0
41,41,1,TRUE,-1,0,1,0
42,42,2,TRUE,-1,0,1,0
43,43,2,TRUE,-1,0,1,0
44,44,3,TRUE,-1,0,1,0
45,45,3,TRUE,-1,0,1,0
46,46,2,TRUE,-1,0,1,0
47,47,1,TRUE,-1,0,1,0
48,48,3,TRUE,-1,0,1,0
49,49,1,TRUE,-1,0,1,0
50,50,2,TRUE,-1,0,1,0
51,51,2,TRUE,-1,0,1,0
52,52,2,TRUE,-1,0,1,0
53,53,1,TRUE,-1,0,1,0
54,54,3,TRUE,-1,0,1,0
55,55,2,TRUE,-1,0,1,0
56,56,2,TRUE,-1,0,1,0
57,57,2,TRUE,-1,0,1,0
58,58,2,TRUE,-1,0,1,0
59,59,3,TRUE,-1,0,1,0
60,60,2,TRUE,-1,0,1,0
61,61,2,TRUE,-1,0,1,0
62,62,2,TRUE,-1,0,1,0
63,63,2,TRUE,-1,0,1,0
64,64,2,TRUE,-1,0,1,0
65,65,3,TRUE,-1,0,1,0
66,66,1,TRUE,-1,0,1,0
67,67,2,TRUE,-1,0,1,0
68,68,3,TRUE,-1,0,1,0
69,69,3,TRUE,-1,0,1,0
70,70,4,TRUE,-1,0,1,0
71,71,2,TRUE,-1,0,1,0
72,72,2,TRUE,-1,0,1,0
73,73,2,TRUE,-1,0,1,0
74,74,2,TRUE,-1,0,1,0
75,75,2,TRUE,-1,0,1,0
76,76,4,TRUE,-1,0,1,0
77,77,2,TRUE,-1,0,1,0
78,78,3,TRUE,-1,0,1,0
79,79,4,TRUE,-1,0,1,0
80,80,3,TRUE,-1,0,1,0
81,81,1,TRUE,-1,0,1,0
82,82,1,TRUE,-1,0,1,0
83,83,2,TRUE,-1,0,1,0
84,84,3,TRUE,-1,0,1,0
85,85,2,TRUE,-1,0,1,0
86,86,1,TRUE,-1,0,1,0
87,87,2,TRUE,-1,0,1,0
88,88,2,TRUE,-1,0,1,0
89,89,2,TRUE,-1,0,1,0
90,90,1,TRUE,-1,0,1,0
91,91,2,TRUE,-1,0,1,0
92,92,1,TRUE,-1,0,1,0
93,93,1,TRUE,-1,0,1,0
94,94,1,TRUE,-1,0,1,0
95,95,2,TRUE,-1,0,1,0
96,96,3,TRUE,-1,0,1,0
97,97,3,TRUE,-1,0,1,0
98,98,2,TRUE,-1,0,1,0
99,99,3,TRUE,-1,0,1,0
100,100,2,TRUE,-1,0,1,0
101,101,2,TRUE,-1,0,1,0
102,102,3,TRUE,-1,0,1,0
103,103,2,TRUE,-1,0,1,0
104,104,1,TRUE,-1,0,1,0
105,105,2,TRUE,-1,0,1,0
106,106,1,TRUE,-1,0,1,0
107,107,3,TRUE,-1,0,1,0
108,108,3,TRUE,-1,0,1,0
109,109,3,TRUE,-1,0,1,0
110,110,1,TRUE,-1,0,1,0
111,111,2,TRUE,-1,0,1,0
112,112,2,TRUE,-1,0,1,0
113,113,2,TRUE,-1,0,1,0
114,114,2,TRUE,-1,0,1,0
115,115,2,TRUE,-1,0,1,0
116,116,2,TRUE,-1,0,1,0
